id,name,price,name_hash,price_hash
147,Гель высокой вязкости Медиагель 1 кг (Россия),260.0,0c6f3ff6ef28553dddb4dc4927cbf7b7,a2eb52bb7370640fb494ac5edd80356a
148,Гель высокой вязкости Медиагель ЦВЕТНОЙ 1 кг (Россия),190.0,1d004cdcd4a1ab3be0da705393ac6d6a,130e210cc9587fdfd9f2aad3c1139058
149,Гель низкой вязкости Акугель 1 кг (Россия),260.0,044392beef4499f54b6dfb95fd1295d0,a2eb52bb7370640fb494ac5edd80356a
150,Гель с Алоэ Вера Акугель 1кг (Россия),370.0,da2e79c2e20b93b07b9f1cc971024c1f,71582ca50ad45e6b7a55a2e87f701474
151,Гель средней вязкости Акугель 1 кг (Россия),270.0,e492dd2c10e8ffada4eae34d14ca6e49,acae813add1be4fdc279f86a37bb3949
152,Гель средней вязкости Акугель 5 кг (Россия),1040.0,9af455f890561491613e9585ce294edf,b0c3260a51b803fd64d49b5f13ce7bad
153,Гель Электродный Акугель-Электро 1 кг (Россия),295.0,7522df59aa3421b571d2461e8cfd2e1c,748a7ecdd1bfcfbcbcb7bd02f01aa6d7
154,Гель Электродный Акугель-Электро 5 кг (Россия),1255.0,957a191b6ba5edca71b4ed8c4f64f266,4444947e5658041850e275505cc549a3
155,Дозатор для канистр (5 л),360.0,ab50918d6bf20fe417781ca74650729e,1367c805efe40d74b5f4634a6b7ae5f0
156,Жидкость электродная Акугель-Спрей 250 г,140.0,254abbd86d69e38aca2d68bd623d7625,ac9b657f0751dd78c0711f2154b0a531
157,Гель DESINCRUSTANT 500 мл MESOMATRIX (Россия),1650.0,acf3a1b34b397436c961bfd24deb6969,1e5843fdd647a852f8808c996cc4e818
158,Гель для дезинкрустации 500 гр Гельтек (Россия),3350.0,ab3bb96a01728f5451e10150597a456f,686ca2c6c565f28a7e624835614f4f17
159,Лосьон для дезинкрустации чистки лица 200 гр Гельтек (Россия),885.0,158089785409c98a4c667ade3f6acd6c,a105e92fdf7f43519acc665675d2de6d
160,Маска энзимная пектиновая 200 гр Гельтек (Россия),3050.0,bfa6b4a4124cdcd4dbeb2f85d6b0c11a,a9f138e9cb045d11d51892648d8bf64c
161,Гель Антивозрастной NEO 200 гр Гельтек (Россия),4010.0,505f979a294336f9b021c4a8d16ef5a1,08c565cece0dab6967827d4890496c58
162,Гель Антикуперозный 200 гр Гельтек (Россия),4410.0,01ab6d539b8477724c49aa3f4a63eb63,f459e222717a62ecc15e502f8a53d1fb
163,Гель для зрелой кожи Форма 1 200 гр Гельтек (Россия),2910.0,753cbbeab270ff3ccc749225a3011b49,aa18ad1b80200d14e9b95d3cc4efda9a
164,Гель для кожи вокруг глаз 30 гр Гельтек (Россия),2195.0,0ae804bc49ba27b018b77326197d344f,ef557ce38776b6ef98acd924f7f2b43b
165,Гель для физиотерапии Элкорапан 5 кг Гельтек (Россия),2070.0,2981c118c89141f67ad5db462cf83eb7,edc6a91465f65a636f164e2394ef4819
166,Гель с БТА эффектом 30 гр Гельтек (Россия),2455.0,1874cfe4237c258e1cf40b5f2aaf9c63,16eec6836b25c517290127eac3e8e03f
167,Гель тонизирующий 200 гр Гельтек (Россия),2370.0,e8afdcb71f58e534cbe4fe44021cb55e,574faf209ad3fc5335a9f000caee22b0
168,Гель увлажняющий + 500 мл Гельтек (Россия),5930.0,6a995a47bd3abec92706495341ef0233,45d19df4a2968fd110ff7a3692b15a63
169,Маска Аква-Удовольствие 200 гр Гельтек (Россия),2600.0,a6bc41d96eb6cd106b8a03640306469d,13f9e13fd3fa7c4b7c4a6934e4945d3a
170,Сыворотка 3D-увлажнение 30 г Гельтек (Россия),2150.0,0b28028d0b194044d01f3c159e03dc68,d1ddf92d87f04bc52d8fcc1e00dba4f0
